#[youtube link (last part)];[video name]
#
#
# ------------------------ Dutch Dashcam --------------------------#
# https://www.youtube.com/channel/UCGXllzA9s6Sfcl8Y4M3Qhhw/videos
#
#
#------------------------- Car Crashes Time - https://www.youtube.com/user/CarCrashesTime/about --------------------------------#
2mzHohHcvJk;Car Crashes Compilation August - September 2019
-kXUsjn9d-A;Car Crash Compilation July 2019 #2
PIhfQ2mErcg;Car Crashes Compilation July 2019 - Episode 1
z3ny4kQ-cZ8;Car Crashes Compilation June 2019 - Episode 1
GQ2Iwbbl99o;Car Crash Compilation May 2019 - #EP. 1
xNYViDu5MR8;Car Crash Compilation May 2019 - #Ep. 2
3gKDsltMzkY;Car Crash Compilation - April 2019 - #EP. 2
aLxIChOctOk;Car Crash Compilation April 2019 HD Ep 1.
9dRc7A5OjzM;Car Crash Compilation - March 2019 - #EP. 4
m8IaFdKliyQ;Car Crash Compilation - March 2019 - #EP. 3
pLf5byZbpB4;Car Crash Compilation - February 2019 - #Ep. 3
ZNPRtJapLk0;Car Crash Compilation - February 2019 - #EP. 2
zKYCf0x517c;Car Crashes Compilation - Best of the Week
l68fOEV6o_4;Car Crash Compilation - February 2019 - #EP. 1
lyQ4twbKExQ;Car Crashes Compilation - Best of the Week
rsX0ZgfsnH8;Car Crash Compilation - January 2019 - #EP. 3
Pb23YwBdljI;Car Crash Compilation - January 2019 - #Ep.1
CbnnDQ5um7o;Car Crash Compilation - December 2018 - #Ep.3
Ak2962zamhw;Car Crash Compilation - December 24 2018.
#
#------------------------- Car Crashes Time - https://www.youtube.com/user/CarCrashesTime/about --------------------------------#
W6YrlYyWguc;BEST OF DASHCAMS - CAR ACCIDENTS & ROAD FAILS - Episode #187  # This was removed form Youtube.
jFFhYwgepmY;CAR CRASH COMPILATION - BEST OF DASHCAMS - Episode #186
ruiSuGHJf6Q;BAD DRIVERS & ROAD FAILS Compilation - BEST OF DASHCAMS - Episode #185
OPj7lUQOre8;DRIVING FAILS Compilation - MAD DRIVERS & INSTANT KARMA - BEST OF DASHCAMS #184
t_bCDlNOhJc;BEST OF DASHCAMS - CAR CRASHES & ROAD FAILS - Episode #183
oZaUkhs_H-s;ROAD FAILS Compilation - BAD DRIVERS & INSTANT KARMA - BEST OF DASHCAMS #182
kjuzh7GdETg;Сar сrashes caught on camera 2014-1
v33lW9DLMzQ;Car Crashes - Car Crash Compilation 2014 HD #2
XjJAPXCD4nc;Car Wrecks 3
TvK6dPk_3uM;Car Wrecks 2014 4
gu-ax5oSlWo;Сar сrashes caught on camera ➜ compilation part 5
jRndHgmD2sc;Сar сrashes caught on camera ➜ compilation part 7
71UKUeDWGEQ;Car Wrecks ➜ compilation part 8
JgoQ_Z2xTmQ;Сar crash compilation ➜ part 9
zQ1QmqrakIA;Сar crash compilation ➜ part 10
Ah8wsVeHbEo;Сar crash compilation ➜ part 11
K4uztFaGBvQ;Сar crash compilation ➜ part 13
UbFnan9vb50;Сar crash compilation ➜ part 14
AWw42JiCYr4;Сar crash compilation ➜ part 16
gGP8RCPRKes;Сar crash compilation ➜ part 18
yygmg52-BuU;Сar crash compilation ➜ part 19
kT-TLGzPHV0;Сar crash compilation ➜ part 21
iiF_G5Ja1PU;Сar crash compilation ➜ part 23
JtNCHbdpBqQ;Сar crash compilation ➜ part 24
30ItHY-tHt8;Сar crash compilation ➜ part 25
hdHRmF6Jfqk;Сar crash compilation ➜ part 28
aGr4yOmtqb4;Сar crash compilation ➜ part 30
SQBt1bSldwg;Сar crash compilation ➜ part 31
62r0yjJ_Oqc;Сar crash compilation ➜ part 33
r1dWGtbXwgU;Сar crash compilation ➜ part 34
98fvv-oAQps;Сar crash compilation ➜ part 37
QZrCyBZb6Yo;Сar crash compilation ➜ part 38
rS8-KZBTVA0;Сar crash compilation ➜ part 39
rZlticc_kP8;Сar crash compilation ➜ part 40
pAa9n4dkuS8;Сar crash compilation ➜ part 41
dYM1eQ0HrX4;Сar crash compilation ➜ part 42
h9iJzYma1MI;Сar crash compilation ➜ part 44
mAoPJFoeWME;Сar crash compilation ➜ part 45
xQ3O3SuPqUA;Сar crash compilation ➜ part 46
#
#------------------------- BAD DRIVERS OF ITALY -----------------------------#
bQFX2M6gbe4;BAD DRIVERS OF ITALY dashcam compilation 10.01
D3Li8dyqgSE;BAD DRIVERS OF ITALY dashcam compilation 10.08
ECEV-GeCbHU;BAD DRIVERS OF ITALY dashcam compilation 10.15

#------------------------- Potholes -----------------------------------------#
xdvNz4eJpj4;MICHIGAN POTHOLES! M59 (Hall Rd.) 2/22/18
Ty-IFz4JiBU;Huge potholes in Detroit 2018 Michigan MI USA
UqNqTQLe4XU;Mound Road Potholes
5v4mKkzyrlE;Pothole hell
qgqIlJagMIw;Worst Roads in the USA
CQ2DmSdR5PE;Dashcam 2017 Oct 5 Pothole
mxhWzXCt3oI;WV Pothole Dash Cam Video
vJztkHZO_xo;Cars Hitting MASSIVE Potholes [Compilation]
YyZ-kRUNILQ;HUGE New England Pothole Wrecked my Wheels
5OmaSsy2Gd8;POTHOLE TOOK OUT TWO BRAND NEW TIRES!!
xjtNfTkAdfI;Dashcam: Pothole Causes Near Miss
6_hFnO15nbk;June 13th 2016, F150 hitting HUGE pothole that pulled me off the road
0bWWqKc5iPE;A428 Pothole Damages Vehicle (Dashcam)
1kdqyLJP0NY;The Perceton Pothole
Lgm0Dp4KNuI;Driving in Montreal - Massive Pothole on the corner of University/Pine
7VOFiyLqE0s;Dash cam footage 3 (hitting the pothole)
mwV9qLRWvvk;Pot Hole Blew Out 2 Tyres!
cAON1pnMtvs;Palisades Parkway Potholes Dashcam
xaICIfcd1Tg;Craters
3q-ZyWKjhPM;Dashcam - Hitting a pothole at 95km/h resulting in a bent & cracked tire rim
JHwXCicKC3c;Driving in Montreal - Massive Pothole on Robert-Bourassa
sPIfAnK3lKM;PotHole Impact 19JAN2020
y8yR2mQ_Mjc;Pothole
K4Cl0wqOfoU;[adult language] Hitting a Pothole in Kirkersville, OH 20190207
9JCqI_kl_Hs;pothole in oakington
k3R43qPZvGw;Hitting a pothole
lPOOSSc00Zg;Pothole May 30 2019 I495 E
hAOL-6sAKeQ;Testing Dash Cam at Night With Rain and Hitting a Big Ass Pot Hole
nzNo5Ezp10s;Corner Cutting + Pothole = BAD (2016)
fgKzF8iT9ws;Tire Destroying Pothole
F6cSRRuChVE;Motorist experiences tyre blowout after hitting pothole
65hvGJPjeFw;Pothole on Gardiner westbound near Exhibition
UvAe0SLWLn8;Potholes on the Baltimore-Washington Parkway
YspYpAlHm-A;[USA] Pothole damages my wheels
1-EkPHQ-sd4;Pothole takes out two tires
Ufmrbrqr-Sc;HITTING A MASSIVE POTHOLE
WFsTTMFrhfI;Driving speed limit on pothole ridden New Orleans street - Bellaire - Lakeview
n2Wy1OxHSzo;I became a victim of potholes...
x2Kkur7UWFc;Трасса Т0819, Куйбышевское Шоссе или "Оставь колёса в яме" Бердянский район
GJcGbphn-3k;Pothole Toronto Gardiner Expressway
oWu-0jtOBWg;Big Pothole A40 Westway..
e1GQ01D6GQ4;Potholes on the road in Germany - Gropi pe strazile din Germania - 2013
2AUWPU4FImk;Montreal potholes
PkGMCqZoShk;Ridiculous amount of cavernous pot holes in Rome.
auD3e7_n7m4;Huge Pot Hole + Oblivious Driver
AGEGpYIkaCE;Hit a pot hole, instant blowout
-qeCzlrlrck;Pothole in Etobicoke Blows My Tire
rwTE2B8Sm4o;Hit a Pot hole 2018 0116 095836.
DFLEz4r5rxk;Pot hole claim
Le1SBQEaYBU;HIT A HUGE POT HOLE! BLEW OUT STRUTS, BENT 2 WHEELS
N63gbeMY5K0;One Pot Hole... 3 cars
LT2DH_pXGhM;Potholes
U2cBQrm9Ndk;Dash cam from a car rental speed hump
uSTXJfpsclM;I hit a dip at full speed and go airborne
-chJ8hBWXwo;Speeding up Speed bumps
OmmeSlVTCNo;jumping a road bump
4rTu0jVTCK8;Ashley Terrace Speedbumps
9j10YWWZKko;American River College Speedbump Technique
cFJh2zAsc1A;rental car
1LDg_BE5t1g;Audi A3 8v going over speed bumps loudly


#--------------------------- Emergency siren ---------------------------------#
iCxyknD0JLM;German police cars: State Police, Highway Patrol, SWAT, Riot Police, MP, Federal Police
X60RdZLFiyw;[Italian Police] Carabinieri, Polizia, Guardia Finanza, Polizia Municipale, Polizia Penitenziaria
Q-BW50bX_w4;[Italy] Emergency vehicles in Rome (Ambulance)
1ACuiOPY_x8;Pompiers de Paris (compilation)
GgjhzpQrlno;Sapeurs Pompiers de Lyon Corneille
R1FwabubkkA;Pompiers de Paris Urgence feu Compilation ( Paris Fire Dept responding Fire alert )
5sf2s8bDUlE;France police
1TAmIC9yKw8;Police Motorcycles Responding Urgently in Paris - French Sirens
tcKlq7_cOkw;Paris Ambulance SAMU 91 Responding to Emergency with French Siren
9vVyUbqrMcQ;Compilation de SMUR de SAMU en urgence sirène // Paris EMS Ambulances Responding Collection
ZEq9sQJLOgg;POLICE CHASES [Netherlands]
SMnl8q5eQdQ;COMPILATION Pompiers de Paris
-2GLBKAHlUM;German ambulances and other EMS vehicles responding
6cDhpdVShfo;German fire trucks - all kinds of apparatus from dozens of volunteer & career fire departments
HRamesEI1Iw;Several Ambulances responding to different calls in The Netherlands
SKK4iWnsgng;pothole
cS3B8gM0YYk;4hrs 'Driving in the Rain' No Loops ASMR
L0v_0vW9Evg;Heavy Rain and FLOODING. Driving through DEEP water. Big Bear rain drive
uf1k7DvVZXk;Ultimate Pothole Crash & Fail Compilation - MUST SEE
dxBOocHfVmk;10hrs Driving in the Rain 'No Loops' ASMR
LAFK1EvwulU;Virtual Drive Through Snow Blizzard in The Night / Sound of Wind And Falling Snow
O7Fgqj2KqpQ;Car Totaled During Colorado Hail Storm
VkKELpHQP0M;Super Hail Storm Cell, Ringwood - 9_9_2014
debq5EG9LLY;Car Totaled During Colorado Hail Storm
FMHby85u_Bg;Hail Storm stops the phoenix arizona freeway!
PuVSlj6eeq4;
tkUDfJrQnCY;SHIELD YOUR EYES!!! Hailstorm Destroys Car
2fiChKQLyQE;MONSTER Hail!!! Extreme Tornado Tours
itPcjTSlPqY;COLORADO HAIL STORM
JYkMFpUWWyg;INSANE Nebraska Twin Tornados
jlhT_QHmotE;Hail vs Car
8tXdLGRRY1c;4-24-16
ai3nVYl2-64;5-26-2016 Driving through severe t-storm
jifchNWLRxk;
xIi-siZqIC4;DAMAGING WINDSTORM
Z_ji-wHBmhI;Otw bandung Ujan
dAOv6q4b5O8;
WWcElsjbHi4;
WWFwZpiuRAU;
GJ_ldDjd_ZY;
o9jQL1x-fhQ;Driving a 2012 FOrd Fusion Sport in Big Thunderstorm
YEa7x5okb90;Driving through hail storm denver co
XZv7OSzXHkI;Huge rain and wind storm halts traffic - the roadcam
-bCUSIqI92o;
99d2UC190Dk;
RyLORuqnoDY;
8lzPRvyDwTI;
Wzaz7laBsRE;
YSkmA7DfHF8;
x-n9h-5hrCI;
vjxocFHI6gU;
5OdEb0SMPaY;
XZv7OSzXHkI;
XgLgCsSowbg;
ttoAXiGCb9g;
WNTTf6dIygA;
envCsdeLzpw;
xeq0TJzHVfs;
h-0SHg8Xrwc;
fR-s78J23uc;
ZR5U2RqxJSQ;
AIWZHeevP5A;
7CoMfz4g-RQ;
QrLiQVieE9I;
eHLq9Jby_eo;
9YHAJhAPgos;
8BihZq7L-Do;
akK66meGzEE;
rOhiUg4QfFo;
MJ-3nzM59-Q;
rdWBfAJcVM0;
FSqwRD2DB8Y;
DS5eLSMdxqw;
KI-AGQvWt_Y;
7nmLPVLhtiI;
xT4_zFdeZY4;
rObQXaTBQ08;
58d3KUJ2P2o;
D97OATajHP0;
KjH-qcPgkks;
7Ymederpl_U;
BtAgR7TG9qY;
DKg-0ikFST4;
larwlRks4Ks;
W-J9zD1s2Wc;
4rZCH_hn5xo;
aweBb0GmmPQ;
k-uzxfu-FgA;
U7GwOR2Jchs;
wACWEYYU-OQ;
eQAvpb09sHI;
u3FuvHhJWO8;


